musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkpoint
Jessica Klejka,24,3/4 18:39:00,14,3/4 22:56:00,14,4h 17m,3h 27m,3/4 15:12:00,8.70,Rainy Pass
Shaynee Traska,7,3/4 19:06:00,12,3/5 00:27:00,12,5h 21m,3h 48m,3/4 15:18:00,7.89,Rainy Pass
Blair Braverman,11,3/4 22:08:00,13,3/5 00:49:00,13,2h 41m,9h 37m,3/4 12:31:00,3.12,Rainy Pass
Kristin Bacon,8,3/4 19:28:00,14,3/5 01:03:00,14,5h 35m,4h 32m,3/4 14:56:00,6.62,Rainy Pass
Anja Radano,2,3/4 20:08:00,13,3/5 01:10:00,13,5h 2m,3h 47m,3/4 16:21:00,7.93,Rainy Pass
Michael Baker,41,3/4 21:01:00,14,3/5 02:16:00,13,5h 15m,3h 33m,3/4 17:28:00,8.45,Rainy Pass
Niklas Wikstrand,42,3/4 20:20:00,14,3/5 02:21:00,14,6h 1m,3h 33m,3/4 16:47:00,8.45,Rainy Pass
Marcelle Fressineau,27,3/4 21:30:00,13,3/5 03:20:00,13,5h 50m,4h 30m,3/4 17:00:00,6.67,Rainy Pass
Ryan Santiago,49,3/4 21:57:00,14,3/5 04:33:00,14,6h 36m,3h 34m,3/4 18:23:00,8.41,Rainy Pass
Alison Lifka,37,3/4 22:14:00,14,3/5 05:05:00,14,6h 51m,3h 39m,3/4 18:35:00,8.22,Rainy Pass
