currentMusher,musherLocation,currentTimeStamp,index,relOrder
Jessie Holmes,Nome_inTime,2019-03-16T03:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T04:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T05:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T06:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T07:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T08:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T09:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T10:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T11:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T12:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T13:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T14:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T15:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T16:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T17:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T18:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T19:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T20:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T21:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T22:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T23:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T00:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T01:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T02:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T03:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T04:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T05:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T06:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T07:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T08:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T09:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T10:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T11:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T12:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T13:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T14:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T15:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T16:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T17:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T18:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T19:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T20:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T21:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T22:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-17T23:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T00:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T01:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T02:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T03:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T04:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T05:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T06:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T07:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T08:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T09:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T10:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T11:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T12:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T13:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-18T14:00:00Z,45,1
Matt Hall,Willow_inTime,2019-03-03T14:00:00Z,1,2
Matt Hall,Willow_outTime,2019-03-03T15:00:00Z,2,2
Matt Hall,Willow_outTime,2019-03-03T16:00:00Z,2,2
Matt Hall,Willow_outTime,2019-03-03T17:00:00Z,2,2
Matt Hall,Willow_outTime,2019-03-03T18:00:00Z,2,2
Matt Hall,Yentna_outTime,2019-03-03T19:00:00Z,4,2
Matt Hall,Yentna_outTime,2019-03-03T20:00:00Z,4,2
Matt Hall,Yentna_outTime,2019-03-03T21:00:00Z,4,1
Matt Hall,Skwentna_outTime,2019-03-03T22:00:00Z,6,1
